,State,Year,Type_code,Type,Gender,Age_group,Total,Cataegory
122,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,0-14,40,Unemployed
123,West Bengal,2002,Professional_Profile,Service (Government),Female,0-14,0,Employed
124,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,0-14,109,Unemployed
125,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Female,0-14,1,Employed
126,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Female,0-14,0,Employed
127,West Bengal,2002,Professional_Profile,Professional Activity,Female,0-14,0,Employed
128,West Bengal,2002,Professional_Profile,Unemployed,Female,0-14,0,Unemployed
129,West Bengal,2002,Professional_Profile,House Wife,Female,0-14,0,Unemployed
130,West Bengal,2002,Professional_Profile,Service (Private),Female,0-14,0,Employed
131,West Bengal,2002,Professional_Profile,Retired Person,Female,0-14,0,Retired
132,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Male,0-14,0,Employed
133,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,0-14,118,Unemployed
134,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Male,0-14,0,Employed
135,West Bengal,2002,Professional_Profile,Professional Activity,Male,0-14,0,Employed
136,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Male,0-14,0,Employed
137,West Bengal,2002,Professional_Profile,Service (Government),Male,0-14,0,Employed
138,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,0-14,32,Unemployed
139,West Bengal,2002,Professional_Profile,Student,Male,0-14,127,Unemployed
140,West Bengal,2002,Professional_Profile,Unemployed,Male,0-14,4,Unemployed
141,West Bengal,2002,Professional_Profile,Retired Person,Male,0-14,0,Retired
142,West Bengal,2002,Professional_Profile,Service (Private),Male,0-14,2,Employed
143,West Bengal,2002,Professional_Profile,House Wife,Male,0-14,0,Unemployed
144,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Female,15-29,108,Employed
145,West Bengal,2002,Professional_Profile,Retired Person,Female,15-29,0,Retired
146,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Female,15-29,59,Employed
147,West Bengal,2002,Professional_Profile,Service (Private),Female,15-29,141,Employed
148,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Female,15-29,72,Employed
149,West Bengal,2002,Professional_Profile,Student,Female,15-29,118,Unemployed
150,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,15-29,340,Unemployed
151,West Bengal,2002,Professional_Profile,Service (Government),Female,15-29,21,Employed
152,West Bengal,2002,Professional_Profile,Professional Activity,Female,15-29,1,Employed
153,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,15-29,223,Unemployed
154,West Bengal,2002,Professional_Profile,Unemployed,Female,15-29,150,Unemployed
155,West Bengal,2002,Professional_Profile,House Wife,Female,15-29,925,Unemployed
156,West Bengal,2002,Professional_Profile,Professional Activity,Male,15-29,15,Employed
157,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,15-29,347,Unemployed
158,West Bengal,2002,Professional_Profile,Service (Private),Male,15-29,251,Employed
159,West Bengal,2002,Professional_Profile,House Wife,Male,15-29,0,Unemployed
160,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Male,15-29,155,Employed
161,West Bengal,2002,Professional_Profile,Service (Government),Male,15-29,20,Employed
162,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,15-29,408,Unemployed
163,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Male,15-29,321,Employed
164,West Bengal,2002,Professional_Profile,Student,Male,15-29,251,Unemployed
165,West Bengal,2002,Professional_Profile,Unemployed,Male,15-29,274,Unemployed
166,West Bengal,2002,Professional_Profile,Retired Person,Male,15-29,0,Retired
167,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Male,15-29,173,Employed
168,West Bengal,2002,Professional_Profile,Unemployed,Female,30-44,124,Unemployed
169,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,30-44,178,Unemployed
170,West Bengal,2002,Professional_Profile,House Wife,Female,30-44,907,Unemployed
171,West Bengal,2002,Professional_Profile,Service (Private),Female,30-44,136,Employed
172,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,30-44,335,Unemployed
173,West Bengal,2002,Professional_Profile,Professional Activity,Female,30-44,16,Employed
174,West Bengal,2002,Professional_Profile,Service (Government),Female,30-44,35,Employed
175,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Female,30-44,140,Employed
176,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Female,30-44,86,Employed
177,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Female,30-44,25,Employed
178,West Bengal,2002,Professional_Profile,Retired Person,Female,30-44,0,Retired
179,West Bengal,2002,Professional_Profile,Student,Female,30-44,6,Unemployed
180,West Bengal,2002,Professional_Profile,Retired Person,Male,30-44,0,Retired
181,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,30-44,547,Unemployed
182,West Bengal,2002,Professional_Profile,Student,Male,30-44,20,Unemployed
183,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Male,30-44,96,Employed
184,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,30-44,400,Unemployed
185,West Bengal,2002,Professional_Profile,Unemployed,Male,30-44,218,Unemployed
186,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Male,30-44,425,Employed
187,West Bengal,2002,Professional_Profile,Service (Government),Male,30-44,64,Employed
188,West Bengal,2002,Professional_Profile,Professional Activity,Male,30-44,79,Employed
189,West Bengal,2002,Professional_Profile,Service (Private),Male,30-44,273,Employed
190,West Bengal,2002,Professional_Profile,House Wife,Male,30-44,0,Unemployed
191,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Male,30-44,232,Employed
192,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Female,45-59,66,Employed
193,West Bengal,2002,Professional_Profile,Service (Private),Female,45-59,63,Employed
194,West Bengal,2002,Professional_Profile,Student,Female,45-59,0,Unemployed
195,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Female,45-59,119,Employed
196,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,45-59,161,Unemployed
197,West Bengal,2002,Professional_Profile,Unemployed,Female,45-59,13,Unemployed
198,West Bengal,2002,Professional_Profile,House Wife,Female,45-59,395,Unemployed
199,West Bengal,2002,Professional_Profile,Professional Activity,Female,45-59,28,Employed
200,West Bengal,2002,Professional_Profile,Service (Government),Female,45-59,49,Employed
201,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,45-59,136,Unemployed
202,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Female,45-59,54,Employed
203,West Bengal,2002,Professional_Profile,Retired Person,Female,45-59,0,Retired
204,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Male,45-59,110,Employed
205,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Male,45-59,302,Employed
206,West Bengal,2002,Professional_Profile,Retired Person,Male,45-59,40,Retired
207,West Bengal,2002,Professional_Profile,House Wife,Male,45-59,0,Unemployed
208,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,45-59,339,Unemployed
209,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Male,45-59,185,Employed
210,West Bengal,2002,Professional_Profile,Professional Activity,Male,45-59,56,Employed
211,West Bengal,2002,Professional_Profile,Student,Male,45-59,1,Unemployed
212,West Bengal,2002,Professional_Profile,Service (Private),Male,45-59,235,Employed
213,West Bengal,2002,Professional_Profile,Unemployed,Male,45-59,145,Unemployed
214,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,45-59,239,Unemployed
215,West Bengal,2002,Professional_Profile,Service (Government),Male,45-59,59,Employed
216,West Bengal,2002,Professional_Profile,Student,Female,60+,0,Unemployed
217,West Bengal,2002,Professional_Profile,House Wife,Female,60+,67,Unemployed
218,West Bengal,2002,Professional_Profile,Retired Person,Female,60+,18,Retired
219,West Bengal,2002,Professional_Profile,Unemployed,Female,60+,3,Unemployed
220,West Bengal,2002,Professional_Profile,Service (Private),Female,60+,34,Employed
221,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Female,60+,20,Employed
222,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,60+,138,Unemployed
223,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Female,60+,7,Employed
224,West Bengal,2002,Professional_Profile,Others (Please Specify),Female,60+,70,Unemployed
225,West Bengal,2002,Professional_Profile,Professional Activity,Female,60+,0,Employed
226,West Bengal,2002,Professional_Profile,Service (Government),Female,60+,1,Employed
227,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Female,60+,1,Employed
228,West Bengal,2002,Professional_Profile,House Wife,Male,60+,0,Unemployed
229,West Bengal,2002,Professional_Profile,Farming/Agriculture Activity,Male,60+,95,Employed
230,West Bengal,2002,Professional_Profile,Service (Government),Male,60+,5,Employed
231,West Bengal,2002,Professional_Profile,Professional Activity,Male,60+,14,Employed
232,West Bengal,2002,Professional_Profile,Student,Male,60+,0,Unemployed
233,West Bengal,2002,Professional_Profile,Unemployed,Male,60+,19,Unemployed
234,West Bengal,2002,Professional_Profile,Public Sector Undertaking,Male,60+,27,Employed
235,West Bengal,2002,Professional_Profile,Service (Private),Male,60+,31,Employed
236,West Bengal,2002,Professional_Profile,Self-employed (Business activity),Male,60+,47,Employed
237,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,60+,137,Unemployed
238,West Bengal,2002,Professional_Profile,Retired Person,Male,60+,95,Retired
239,West Bengal,2002,Professional_Profile,Others (Please Specify),Male,60+,91,Unemployed
240,West Bengal,2003,Professional_Profile,Unemployed,Female,0-14,0,Unemployed
241,West Bengal,2003,Professional_Profile,Professional Activity,Female,0-14,0,Employed
242,West Bengal,2003,Professional_Profile,Public Sector Undertaking,Female,0-14,0,Employed
243,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,0-14,4,Unemployed
244,West Bengal,2003,Professional_Profile,Service (Private),Female,0-14,0,Employed
245,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Female,0-14,0,Employed
246,West Bengal,2003,Professional_Profile,Retired Person,Female,0-14,0,Retired
247,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,0-14,33,Unemployed
248,West Bengal,2003,Professional_Profile,Student,Female,0-14,61,Unemployed
249,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Female,0-14,0,Employed
250,West Bengal,2003,Professional_Profile,House Wife,Female,0-14,0,Unemployed
251,West Bengal,2003,Professional_Profile,Service (Government),Female,0-14,0,Employed
252,West Bengal,2003,Professional_Profile,House Wife,Male,0-14,0,Unemployed
253,West Bengal,2003,Professional_Profile,Service (Private),Male,0-14,0,Employed
254,West Bengal,2003,Professional_Profile,Retired Person,Male,0-14,0,Retired
255,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Male,0-14,0,Employed
256,West Bengal,2003,Professional_Profile,Unemployed,Male,0-14,0,Unemployed
257,West Bengal,2003,Professional_Profile,Professional Activity,Male,0-14,0,Employed
258,West Bengal,2003,Professional_Profile,Public Sector Undertaking,Male,0-14,0,Employed
259,West Bengal,2003,Professional_Profile,Student,Male,0-14,41,Unemployed
260,West Bengal,2003,Professional_Profile,Others (Please Specify),Male,0-14,18,Unemployed
261,West Bengal,2003,Professional_Profile,Others (Please Specify),Male,0-14,2,Unemployed
262,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Male,0-14,0,Employed
263,West Bengal,2003,Professional_Profile,Service (Government),Male,0-14,0,Employed
264,West Bengal,2003,Professional_Profile,Unemployed,Female,15-29,87,Unemployed
265,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Female,15-29,51,Employed
266,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,15-29,80,Unemployed
267,West Bengal,2003,Professional_Profile,Service (Private),Female,15-29,26,Employed
268,West Bengal,2003,Professional_Profile,Retired Person,Female,15-29,0,Retired
269,West Bengal,2003,Professional_Profile,House Wife,Female,15-29,1402,Unemployed
270,West Bengal,2003,Professional_Profile,Service (Government),Female,15-29,7,Employed
271,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Female,15-29,35,Employed
272,West Bengal,2003,Professional_Profile,Student,Female,15-29,413,Unemployed
273,West Bengal,2003,Professional_Profile,Professional Activity,Female,15-29,9,Employed
274,West Bengal,2003,Professional_Profile,Public Sector Undertaking,Female,15-29,79,Employed
275,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,15-29,93,Unemployed
276,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Male,15-29,217,Employed
277,West Bengal,2003,Professional_Profile,Student,Male,15-29,418,Unemployed
278,West Bengal,2003,Professional_Profile,Service (Government),Male,15-29,74,Employed
279,West Bengal,2003,Professional_Profile,Service (Private),Male,15-29,221,Employed
280,West Bengal,2003,Professional_Profile,Professional Activity,Male,15-29,92,Employed
281,West Bengal,2003,Professional_Profile,Public Sector Undertaking,Male,15-29,322,Employed
282,West Bengal,2003,Professional_Profile,Others (Please Specify),Male,15-29,204,Unemployed
283,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Male,15-29,201,Employed
284,West Bengal,2003,Professional_Profile,Retired Person,Male,15-29,0,Retired
285,West Bengal,2003,Professional_Profile,Others (Please Specify),Male,15-29,255,Unemployed
286,West Bengal,2003,Professional_Profile,Unemployed,Male,15-29,392,Unemployed
287,West Bengal,2003,Professional_Profile,House Wife,Male,15-29,0,Unemployed
288,West Bengal,2003,Professional_Profile,Retired Person,Female,30-44,0,Retired
289,West Bengal,2003,Professional_Profile,Unemployed,Female,30-44,64,Unemployed
290,West Bengal,2003,Professional_Profile,Professional Activity,Female,30-44,6,Employed
291,West Bengal,2003,Professional_Profile,Student,Female,30-44,99,Unemployed
292,West Bengal,2003,Professional_Profile,Service (Government),Female,30-44,12,Employed
293,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Female,30-44,22,Employed
294,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,30-44,123,Unemployed
295,West Bengal,2003,Professional_Profile,Public Sector Undertaking,Female,30-44,44,Employed
296,West Bengal,2003,Professional_Profile,House Wife,Female,30-44,1414,Unemployed
297,West Bengal,2003,Professional_Profile,Service (Private),Female,30-44,47,Employed
298,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Female,30-44,48,Employed
299,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,30-44,16,Unemployed
300,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Male,30-44,329,Employed
301,West Bengal,2003,Professional_Profile,Professional Activity,Male,30-44,121,Employed
302,West Bengal,2003,Professional_Profile,Unemployed,Male,30-44,356,Unemployed
303,West Bengal,2003,Professional_Profile,Student,Male,30-44,79,Unemployed
304,West Bengal,2003,Professional_Profile,Retired Person,Male,30-44,0,Retired
305,West Bengal,2003,Professional_Profile,Service (Government),Male,30-44,76,Employed
306,West Bengal,2003,Professional_Profile,Others (Please Specify),Male,30-44,444,Unemployed
307,West Bengal,2003,Professional_Profile,Public Sector Undertaking,Male,30-44,255,Employed
308,West Bengal,2003,Professional_Profile,Others (Please Specify),Male,30-44,274,Unemployed
309,West Bengal,2003,Professional_Profile,House Wife,Male,30-44,0,Unemployed
310,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Male,30-44,394,Employed
311,West Bengal,2003,Professional_Profile,Service (Private),Male,30-44,290,Employed
312,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,45-59,103,Unemployed
313,West Bengal,2003,Professional_Profile,Retired Person,Female,45-59,0,Retired
314,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Female,45-59,11,Employed
315,West Bengal,2003,Professional_Profile,Student,Female,45-59,0,Unemployed
316,West Bengal,2003,Professional_Profile,Service (Government),Female,45-59,9,Employed
317,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Female,45-59,16,Employed
318,West Bengal,2003,Professional_Profile,House Wife,Female,45-59,980,Unemployed
319,West Bengal,2003,Professional_Profile,Professional Activity,Female,45-59,5,Employed
320,West Bengal,2003,Professional_Profile,Public Sector Undertaking,Female,45-59,18,Employed
321,West Bengal,2003,Professional_Profile,Service (Private),Female,45-59,22,Employed
322,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,45-59,27,Unemployed
323,West Bengal,2003,Professional_Profile,Unemployed,Female,45-59,0,Unemployed
324,West Bengal,2003,Professional_Profile,Unemployed,Male,45-59,9,Unemployed
325,West Bengal,2003,Professional_Profile,Professional Activity,Male,45-59,140,Employed
326,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Male,45-59,260,Employed
327,West Bengal,2003,Professional_Profile,Retired Person,Male,45-59,0,Retired
328,West Bengal,2003,Professional_Profile,Others (Please Specify),Male,45-59,166,Unemployed
329,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Male,45-59,322,Employed
330,West Bengal,2003,Professional_Profile,Service (Private),Male,45-59,226,Employed
331,West Bengal,2003,Professional_Profile,Public Sector Undertaking,Male,45-59,369,Employed
332,West Bengal,2003,Professional_Profile,Student,Male,45-59,0,Unemployed
333,West Bengal,2003,Professional_Profile,Others (Please Specify),Male,45-59,226,Unemployed
334,West Bengal,2003,Professional_Profile,House Wife,Male,45-59,0,Unemployed
335,West Bengal,2003,Professional_Profile,Service (Government),Male,45-59,52,Employed
336,West Bengal,2003,Professional_Profile,Others (Please Specify),Female,60+,53,Unemployed
337,West Bengal,2003,Professional_Profile,Service (Private),Female,60+,0,Employed
338,West Bengal,2003,Professional_Profile,Professional Activity,Female,60+,1,Employed
339,West Bengal,2003,Professional_Profile,House Wife,Female,60+,287,Unemployed
340,West Bengal,2003,Professional_Profile,Self-employed (Business activity),Female,60+,0,Employed
341,West Bengal,2003,Professional_Profile,Unemployed,Female,60+,0,Unemployed
342,West Bengal,2003,Professional_Profile,Student,Female,60+,0,Unemployed
343,West Bengal,2003,Professional_Profile,Retired Person,Female,60+,7,Retired
344,West Bengal,2003,Professional_Profile,Farming/Agriculture Activity,Female,60+,1,Employed
